,index,Periodo,1.Dólar observado,year,mes,dia
8181,1827,2005-01-01 00:00:00,,2005,01,01
8182,1828,2005-01-02 00:00:00,,2005,01,02
8183,1829,2005-01-03 00:00:00,557.4,2005,01,03
8184,1830,2005-01-04 00:00:00,560.3,2005,01,04
8185,1831,2005-01-05 00:00:00,568.95,2005,01,05
8186,1832,2005-01-06 00:00:00,571.32,2005,01,06
8187,1833,2005-01-07 00:00:00,569.37,2005,01,07
8188,1834,2005-01-08 00:00:00,,2005,01,08
8189,1835,2005-01-09 00:00:00,,2005,01,09
8190,1836,2005-01-10 00:00:00,567.95,2005,01,10
8191,1837,2005-01-11 00:00:00,567.1,2005,01,11
8192,1838,2005-01-12 00:00:00,567.53,2005,01,12
8193,1839,2005-01-13 00:00:00,568.71,2005,01,13
8194,1840,2005-01-14 00:00:00,567.05,2005,01,14
8195,1841,2005-01-15 00:00:00,,2005,01,15
8196,1842,2005-01-16 00:00:00,,2005,01,16
8197,1843,2005-01-17 00:00:00,571.51,2005,01,17
8198,1844,2005-01-18 00:00:00,574.63,2005,01,18
8199,1845,2005-01-19 00:00:00,580.4,2005,01,19
8200,1846,2005-01-20 00:00:00,580.09,2005,01,20
8201,1847,2005-01-21 00:00:00,584.22,2005,01,21
8202,1848,2005-01-22 00:00:00,,2005,01,22
8203,1849,2005-01-23 00:00:00,,2005,01,23
8204,1850,2005-01-24 00:00:00,580.45,2005,01,24
8205,1851,2005-01-25 00:00:00,577.96,2005,01,25
8206,1852,2005-01-26 00:00:00,584.92,2005,01,26
8207,1853,2005-01-27 00:00:00,584.64,2005,01,27
8208,1854,2005-01-28 00:00:00,585.83,2005,01,28
8209,1855,2005-01-29 00:00:00,,2005,01,29
8210,1856,2005-01-30 00:00:00,,2005,01,30
8211,1857,2005-01-31 00:00:00,586.18,2005,01,31
8212,1858,2005-02-01 00:00:00,585.4,2005,02,01
8213,1859,2005-02-02 00:00:00,583.84,2005,02,02
8214,1860,2005-02-03 00:00:00,582.55,2005,02,03
8215,1861,2005-02-04 00:00:00,577.33,2005,02,04
8216,1862,2005-02-05 00:00:00,,2005,02,05
8217,1863,2005-02-06 00:00:00,,2005,02,06
8218,1864,2005-02-07 00:00:00,575.69,2005,02,07
8219,1865,2005-02-08 00:00:00,576.84,2005,02,08
8220,1866,2005-02-09 00:00:00,579.35,2005,02,09
8221,1867,2005-02-10 00:00:00,580.29,2005,02,10
8222,1868,2005-02-11 00:00:00,575.35,2005,02,11
8223,1869,2005-02-12 00:00:00,,2005,02,12
8224,1870,2005-02-13 00:00:00,,2005,02,13
8225,1871,2005-02-14 00:00:00,572.18,2005,02,14
8226,1872,2005-02-15 00:00:00,569.55,2005,02,15
8227,1873,2005-02-16 00:00:00,567.82,2005,02,16
8228,1874,2005-02-17 00:00:00,569.35,2005,02,17
8229,1875,2005-02-18 00:00:00,566.49,2005,02,18
8230,1876,2005-02-19 00:00:00,,2005,02,19
8231,1877,2005-02-20 00:00:00,,2005,02,20
8232,1878,2005-02-21 00:00:00,566.41,2005,02,21
8233,1879,2005-02-22 00:00:00,566.18,2005,02,22
8234,1880,2005-02-23 00:00:00,563.22,2005,02,23
8235,1881,2005-02-24 00:00:00,566.82,2005,02,24
8236,1882,2005-02-25 00:00:00,569.5,2005,02,25
8237,1883,2005-02-26 00:00:00,,2005,02,26
8238,1884,2005-02-27 00:00:00,,2005,02,27
8239,1885,2005-02-28 00:00:00,577.52,2005,02,28
8240,1886,2005-03-01 00:00:00,573.55,2005,03,01
8241,1887,2005-03-02 00:00:00,578.6,2005,03,02
8242,1888,2005-03-03 00:00:00,587.08,2005,03,03
8243,1889,2005-03-04 00:00:00,586.51,2005,03,04
8244,1890,2005-03-05 00:00:00,,2005,03,05
8245,1891,2005-03-06 00:00:00,,2005,03,06
8246,1892,2005-03-07 00:00:00,587.75,2005,03,07
8247,1893,2005-03-08 00:00:00,585.6,2005,03,08
8248,1894,2005-03-09 00:00:00,585.71,2005,03,09
8249,1895,2005-03-10 00:00:00,589.68,2005,03,10
8250,1896,2005-03-11 00:00:00,588.19,2005,03,11
8251,1897,2005-03-12 00:00:00,,2005,03,12
8252,1898,2005-03-13 00:00:00,,2005,03,13
8253,1899,2005-03-14 00:00:00,584.27,2005,03,14
8254,1900,2005-03-15 00:00:00,588.72,2005,03,15
8255,1901,2005-03-16 00:00:00,590.16,2005,03,16
8256,1902,2005-03-17 00:00:00,591.69,2005,03,17
8257,1903,2005-03-18 00:00:00,590.87,2005,03,18
8258,1904,2005-03-19 00:00:00,,2005,03,19
8259,1905,2005-03-20 00:00:00,,2005,03,20
8260,1906,2005-03-21 00:00:00,585.05,2005,03,21
8261,1907,2005-03-22 00:00:00,586.86,2005,03,22
8262,1908,2005-03-23 00:00:00,583.83,2005,03,23
8263,1909,2005-03-24 00:00:00,587.74,2005,03,24
8264,1910,2005-03-25 00:00:00,,2005,03,25
8265,1911,2005-03-26 00:00:00,,2005,03,26
8266,1912,2005-03-27 00:00:00,,2005,03,27
8267,1913,2005-03-28 00:00:00,587.33,2005,03,28
8268,1914,2005-03-29 00:00:00,589.69,2005,03,29
8269,1915,2005-03-30 00:00:00,587.29,2005,03,30
8270,1916,2005-03-31 00:00:00,586.45,2005,03,31
8271,1917,2005-04-01 00:00:00,585.93,2005,04,01
8272,1918,2005-04-02 00:00:00,,2005,04,02
8273,1919,2005-04-03 00:00:00,,2005,04,03
8274,1920,2005-04-04 00:00:00,585.04,2005,04,04
8275,1921,2005-04-05 00:00:00,588.95,2005,04,05
8276,1922,2005-04-06 00:00:00,587.36,2005,04,06
8277,1923,2005-04-07 00:00:00,585.19,2005,04,07
8278,1924,2005-04-08 00:00:00,580.17,2005,04,08
8279,1925,2005-04-09 00:00:00,,2005,04,09
8280,1926,2005-04-10 00:00:00,,2005,04,10
8281,1927,2005-04-11 00:00:00,576.68,2005,04,11
8282,1928,2005-04-12 00:00:00,574.4,2005,04,12
8283,1929,2005-04-13 00:00:00,576.02,2005,04,13
8284,1930,2005-04-14 00:00:00,572.75,2005,04,14
8285,1931,2005-04-15 00:00:00,577.42,2005,04,15
8286,1932,2005-04-16 00:00:00,,2005,04,16
8287,1933,2005-04-17 00:00:00,,2005,04,17
8288,1934,2005-04-18 00:00:00,579.99,2005,04,18
8289,1935,2005-04-19 00:00:00,584.6,2005,04,19
8290,1936,2005-04-20 00:00:00,579.86,2005,04,20
8291,1937,2005-04-21 00:00:00,577.96,2005,04,21
8292,1938,2005-04-22 00:00:00,579.99,2005,04,22
8293,1939,2005-04-23 00:00:00,,2005,04,23
8294,1940,2005-04-24 00:00:00,,2005,04,24
8295,1941,2005-04-25 00:00:00,576.98,2005,04,25
8296,1942,2005-04-26 00:00:00,577.35,2005,04,26
8297,1943,2005-04-27 00:00:00,579.97,2005,04,27
8298,1944,2005-04-28 00:00:00,580.09,2005,04,28
8299,1945,2005-04-29 00:00:00,582.87,2005,04,29
8300,1946,2005-04-30 00:00:00,,2005,04,30
8301,1947,2005-05-01 00:00:00,,2005,05,01
8302,1948,2005-05-02 00:00:00,582.73,2005,05,02
8303,1949,2005-05-03 00:00:00,580.54,2005,05,03
8304,1950,2005-05-04 00:00:00,578.28,2005,05,04
8305,1951,2005-05-05 00:00:00,574.58,2005,05,05
8306,1952,2005-05-06 00:00:00,572.76,2005,05,06
8307,1953,2005-05-07 00:00:00,,2005,05,07
8308,1954,2005-05-08 00:00:00,,2005,05,08
8309,1955,2005-05-09 00:00:00,570.83,2005,05,09
8310,1956,2005-05-10 00:00:00,572.53,2005,05,10
8311,1957,2005-05-11 00:00:00,573.66,2005,05,11
8312,1958,2005-05-12 00:00:00,577.27,2005,05,12
8313,1959,2005-05-13 00:00:00,576.2,2005,05,13
8314,1960,2005-05-14 00:00:00,,2005,05,14
8315,1961,2005-05-15 00:00:00,,2005,05,15
8316,1962,2005-05-16 00:00:00,577.45,2005,05,16
8317,1963,2005-05-17 00:00:00,579.02,2005,05,17
8318,1964,2005-05-18 00:00:00,580.13,2005,05,18
8319,1965,2005-05-19 00:00:00,581.4,2005,05,19
8320,1966,2005-05-20 00:00:00,579.53,2005,05,20
8321,1967,2005-05-21 00:00:00,,2005,05,21
8322,1968,2005-05-22 00:00:00,,2005,05,22
8323,1969,2005-05-23 00:00:00,,2005,05,23
8324,1970,2005-05-24 00:00:00,583.59,2005,05,24
8325,1971,2005-05-25 00:00:00,580.64,2005,05,25
8326,1972,2005-05-26 00:00:00,580.08,2005,05,26
8327,1973,2005-05-27 00:00:00,582.44,2005,05,27
8328,1974,2005-05-28 00:00:00,,2005,05,28
8329,1975,2005-05-29 00:00:00,,2005,05,29
8330,1976,2005-05-30 00:00:00,580.63,2005,05,30
8331,1977,2005-05-31 00:00:00,580.2,2005,05,31
8332,1978,2005-06-01 00:00:00,583.0,2005,06,01
8333,1979,2005-06-02 00:00:00,586.85,2005,06,02
8334,1980,2005-06-03 00:00:00,586.32,2005,06,03
8335,1981,2005-06-04 00:00:00,,2005,06,04
