,index,Periodo,1.Dólar observado,year,mes,dia
9276,2922,2008-01-01 00:00:00,,2008,01,01
9277,2923,2008-01-02 00:00:00,496.89,2008,01,02
9278,2924,2008-01-03 00:00:00,498.05,2008,01,03
9279,2925,2008-01-04 00:00:00,496.83,2008,01,04
9280,2926,2008-01-05 00:00:00,,2008,01,05
9281,2927,2008-01-06 00:00:00,,2008,01,06
9282,2928,2008-01-07 00:00:00,495.73,2008,01,07
9283,2929,2008-01-08 00:00:00,495.64,2008,01,08
9284,2930,2008-01-09 00:00:00,490.21,2008,01,09
9285,2931,2008-01-10 00:00:00,487.25,2008,01,10
9286,2932,2008-01-11 00:00:00,484.83,2008,01,11
9287,2933,2008-01-12 00:00:00,,2008,01,12
9288,2934,2008-01-13 00:00:00,,2008,01,13
9289,2935,2008-01-14 00:00:00,480.15,2008,01,14
9290,2936,2008-01-15 00:00:00,471.67,2008,01,15
9291,2937,2008-01-16 00:00:00,471.69,2008,01,16
9292,2938,2008-01-17 00:00:00,478.28,2008,01,17
9293,2939,2008-01-18 00:00:00,476.06,2008,01,18
9294,2940,2008-01-19 00:00:00,,2008,01,19
9295,2941,2008-01-20 00:00:00,,2008,01,20
9296,2942,2008-01-21 00:00:00,476.32,2008,01,21
9297,2943,2008-01-22 00:00:00,482.54,2008,01,22
9298,2944,2008-01-23 00:00:00,480.86,2008,01,23
9299,2945,2008-01-24 00:00:00,479.02,2008,01,24
9300,2946,2008-01-25 00:00:00,471.41,2008,01,25
9301,2947,2008-01-26 00:00:00,,2008,01,26
9302,2948,2008-01-27 00:00:00,,2008,01,27
9303,2949,2008-01-28 00:00:00,467.95,2008,01,28
9304,2950,2008-01-29 00:00:00,469.46,2008,01,29
9305,2951,2008-01-30 00:00:00,463.58,2008,01,30
9306,2952,2008-01-31 00:00:00,465.3,2008,01,31
9307,2953,2008-02-01 00:00:00,465.34,2008,02,01
9308,2954,2008-02-02 00:00:00,,2008,02,02
9309,2955,2008-02-03 00:00:00,,2008,02,03
9310,2956,2008-02-04 00:00:00,464.65,2008,02,04
9311,2957,2008-02-05 00:00:00,466.71,2008,02,05
9312,2958,2008-02-06 00:00:00,472.35,2008,02,06
9313,2959,2008-02-07 00:00:00,474.47,2008,02,07
9314,2960,2008-02-08 00:00:00,476.44,2008,02,08
9315,2961,2008-02-09 00:00:00,,2008,02,09
9316,2962,2008-02-10 00:00:00,,2008,02,10
9317,2963,2008-02-11 00:00:00,473.97,2008,02,11
9318,2964,2008-02-12 00:00:00,468.93,2008,02,12
