,index,Periodo,1.Dólar observado,year,mes,dia
6354,0,2000-01-01 00:00:00,,2000,01,01
6355,1,2000-01-02 00:00:00,,2000,01,02
6356,2,2000-01-03 00:00:00,530.07,2000,01,03
6357,3,2000-01-04 00:00:00,527.28,2000,01,04
6358,4,2000-01-05 00:00:00,529.08,2000,01,05
6359,5,2000-01-06 00:00:00,530.67,2000,01,06
6360,6,2000-01-07 00:00:00,527.76,2000,01,07
6361,7,2000-01-08 00:00:00,,2000,01,08
6362,8,2000-01-09 00:00:00,,2000,01,09
6363,9,2000-01-10 00:00:00,523.51,2000,01,10
6364,10,2000-01-11 00:00:00,521.66,2000,01,11
6365,11,2000-01-12 00:00:00,519.79,2000,01,12
6366,12,2000-01-13 00:00:00,521.46,2000,01,13
6367,13,2000-01-14 00:00:00,517.08,2000,01,14
6368,14,2000-01-15 00:00:00,,2000,01,15
6369,15,2000-01-16 00:00:00,,2000,01,16
6370,16,2000-01-17 00:00:00,515.75,2000,01,17
6371,17,2000-01-18 00:00:00,516.56,2000,01,18
6372,18,2000-01-19 00:00:00,513.07,2000,01,19
6373,19,2000-01-20 00:00:00,516.07,2000,01,20
6374,20,2000-01-21 00:00:00,517.96,2000,01,21
6375,21,2000-01-22 00:00:00,,2000,01,22
6376,22,2000-01-23 00:00:00,,2000,01,23
6377,23,2000-01-24 00:00:00,518.29,2000,01,24
6378,24,2000-01-25 00:00:00,515.67,2000,01,25
6379,25,2000-01-26 00:00:00,515.62,2000,01,26
6380,26,2000-01-27 00:00:00,516.55,2000,01,27
6381,27,2000-01-28 00:00:00,517.61,2000,01,28
6382,28,2000-01-29 00:00:00,,2000,01,29
6383,29,2000-01-30 00:00:00,,2000,01,30
6384,30,2000-01-31 00:00:00,517.89,2000,01,31
6385,31,2000-02-01 00:00:00,517.79,2000,02,01
6386,32,2000-02-02 00:00:00,518.58,2000,02,02
6387,33,2000-02-03 00:00:00,517.26,2000,02,03
6388,34,2000-02-04 00:00:00,514.06,2000,02,04
6389,35,2000-02-05 00:00:00,,2000,02,05
6390,36,2000-02-06 00:00:00,,2000,02,06
6391,37,2000-02-07 00:00:00,515.01,2000,02,07
6392,38,2000-02-08 00:00:00,514.49,2000,02,08
6393,39,2000-02-09 00:00:00,514.73,2000,02,09
6394,40,2000-02-10 00:00:00,514.5,2000,02,10
6395,41,2000-02-11 00:00:00,515.72,2000,02,11
6396,42,2000-02-12 00:00:00,,2000,02,12
6397,43,2000-02-13 00:00:00,,2000,02,13
6398,44,2000-02-14 00:00:00,515.43,2000,02,14
6399,45,2000-02-15 00:00:00,514.8,2000,02,15
6400,46,2000-02-16 00:00:00,514.38,2000,02,16
6401,47,2000-02-17 00:00:00,513.08,2000,02,17
6402,48,2000-02-18 00:00:00,511.64,2000,02,18
6403,49,2000-02-19 00:00:00,,2000,02,19
6404,50,2000-02-20 00:00:00,,2000,02,20
6405,51,2000-02-21 00:00:00,511.7,2000,02,21
6406,52,2000-02-22 00:00:00,511.31,2000,02,22
6407,53,2000-02-23 00:00:00,509.28,2000,02,23
6408,54,2000-02-24 00:00:00,508.12,2000,02,24
6409,55,2000-02-25 00:00:00,506.69,2000,02,25
6410,56,2000-02-26 00:00:00,,2000,02,26
6411,57,2000-02-27 00:00:00,,2000,02,27
6412,58,2000-02-28 00:00:00,507.32,2000,02,28
6413,59,2000-02-29 00:00:00,503.98,2000,02,29
6414,60,2000-03-01 00:00:00,501.36,2000,03,01
6415,61,2000-03-02 00:00:00,503.15,2000,03,02
6416,62,2000-03-03 00:00:00,502.83,2000,03,03
6417,63,2000-03-04 00:00:00,,2000,03,04
6418,64,2000-03-05 00:00:00,,2000,03,05
6419,65,2000-03-06 00:00:00,503.61,2000,03,06
6420,66,2000-03-07 00:00:00,503.13,2000,03,07
6421,67,2000-03-08 00:00:00,505.33,2000,03,08
6422,68,2000-03-09 00:00:00,507.33,2000,03,09
6423,69,2000-03-10 00:00:00,505.63,2000,03,10
6424,70,2000-03-11 00:00:00,,2000,03,11
6425,71,2000-03-12 00:00:00,,2000,03,12
6426,72,2000-03-13 00:00:00,507.75,2000,03,13
6427,73,2000-03-14 00:00:00,507.65,2000,03,14
6428,74,2000-03-15 00:00:00,505.75,2000,03,15
6429,75,2000-03-16 00:00:00,506.78,2000,03,16
6430,76,2000-03-17 00:00:00,505.86,2000,03,17
6431,77,2000-03-18 00:00:00,,2000,03,18
6432,78,2000-03-19 00:00:00,,2000,03,19
6433,79,2000-03-20 00:00:00,506.29,2000,03,20
6434,80,2000-03-21 00:00:00,506.39,2000,03,21
6435,81,2000-03-22 00:00:00,505.35,2000,03,22
6436,82,2000-03-23 00:00:00,503.98,2000,03,23
6437,83,2000-03-24 00:00:00,502.97,2000,03,24
6438,84,2000-03-25 00:00:00,,2000,03,25
6439,85,2000-03-26 00:00:00,,2000,03,26
6440,86,2000-03-27 00:00:00,502.26,2000,03,27
6441,87,2000-03-28 00:00:00,502.78,2000,03,28
6442,88,2000-03-29 00:00:00,502.12,2000,03,29
6443,89,2000-03-30 00:00:00,501.04,2000,03,30
6444,90,2000-03-31 00:00:00,501.41,2000,03,31
6445,91,2000-04-01 00:00:00,,2000,04,01
6446,92,2000-04-02 00:00:00,,2000,04,02
6447,93,2000-04-03 00:00:00,502.22,2000,04,03
6448,94,2000-04-04 00:00:00,503.96,2000,04,04
6449,95,2000-04-05 00:00:00,503.0,2000,04,05
6450,96,2000-04-06 00:00:00,505.08,2000,04,06
6451,97,2000-04-07 00:00:00,505.62,2000,04,07
6452,98,2000-04-08 00:00:00,,2000,04,08
6453,99,2000-04-09 00:00:00,,2000,04,09
6454,100,2000-04-10 00:00:00,505.2,2000,04,10
6455,101,2000-04-11 00:00:00,505.39,2000,04,11
6456,102,2000-04-12 00:00:00,505.71,2000,04,12
6457,103,2000-04-13 00:00:00,505.34,2000,04,13
6458,104,2000-04-14 00:00:00,505.63,2000,04,14
6459,105,2000-04-15 00:00:00,,2000,04,15
6460,106,2000-04-16 00:00:00,,2000,04,16
6461,107,2000-04-17 00:00:00,508.41,2000,04,17
6462,108,2000-04-18 00:00:00,513.21,2000,04,18
6463,109,2000-04-19 00:00:00,511.33,2000,04,19
6464,110,2000-04-20 00:00:00,507.83,2000,04,20
6465,111,2000-04-21 00:00:00,,2000,04,21
6466,112,2000-04-22 00:00:00,,2000,04,22
6467,113,2000-04-23 00:00:00,,2000,04,23
6468,114,2000-04-24 00:00:00,510.4,2000,04,24
6469,115,2000-04-25 00:00:00,513.1,2000,04,25
