,index,Periodo,1.Dólar observado,year,mes,dia
4528,1826,1995-01-01 00:00:00,,1995,01,01
4529,1827,1995-01-02 00:00:00,402.92,1995,01,02
4530,1828,1995-01-03 00:00:00,401.69,1995,01,03
4531,1829,1995-01-04 00:00:00,403.81,1995,01,04
4532,1830,1995-01-05 00:00:00,403.27,1995,01,05
4533,1831,1995-01-06 00:00:00,404.4,1995,01,06
4534,1832,1995-01-07 00:00:00,,1995,01,07
4535,1833,1995-01-08 00:00:00,,1995,01,08
4536,1834,1995-01-09 00:00:00,406.03,1995,01,09
4537,1835,1995-01-10 00:00:00,405.0,1995,01,10
4538,1836,1995-01-11 00:00:00,404.73,1995,01,11
4539,1837,1995-01-12 00:00:00,407.48,1995,01,12
4540,1838,1995-01-13 00:00:00,405.62,1995,01,13
4541,1839,1995-01-14 00:00:00,,1995,01,14
4542,1840,1995-01-15 00:00:00,,1995,01,15
4543,1841,1995-01-16 00:00:00,404.5,1995,01,16
4544,1842,1995-01-17 00:00:00,404.95,1995,01,17
4545,1843,1995-01-18 00:00:00,405.06,1995,01,18
4546,1844,1995-01-19 00:00:00,405.65,1995,01,19
4547,1845,1995-01-20 00:00:00,406.15,1995,01,20
4548,1846,1995-01-21 00:00:00,,1995,01,21
4549,1847,1995-01-22 00:00:00,,1995,01,22
4550,1848,1995-01-23 00:00:00,407.78,1995,01,23
4551,1849,1995-01-24 00:00:00,408.91,1995,01,24
4552,1850,1995-01-25 00:00:00,407.43,1995,01,25
4553,1851,1995-01-26 00:00:00,406.65,1995,01,26
4554,1852,1995-01-27 00:00:00,407.03,1995,01,27
4555,1853,1995-01-28 00:00:00,,1995,01,28
4556,1854,1995-01-29 00:00:00,,1995,01,29
4557,1855,1995-01-30 00:00:00,408.19,1995,01,30
4558,1856,1995-01-31 00:00:00,409.87,1995,01,31
4559,1857,1995-02-01 00:00:00,410.79,1995,02,01
4560,1858,1995-02-02 00:00:00,407.47,1995,02,02
4561,1859,1995-02-03 00:00:00,409.06,1995,02,03
4562,1860,1995-02-04 00:00:00,,1995,02,04
4563,1861,1995-02-05 00:00:00,,1995,02,05
4564,1862,1995-02-06 00:00:00,409.41,1995,02,06
4565,1863,1995-02-07 00:00:00,410.19,1995,02,07
4566,1864,1995-02-08 00:00:00,410.47,1995,02,08
4567,1865,1995-02-09 00:00:00,409.48,1995,02,09
4568,1866,1995-02-10 00:00:00,409.56,1995,02,10
4569,1867,1995-02-11 00:00:00,,1995,02,11
4570,1868,1995-02-12 00:00:00,,1995,02,12
4571,1869,1995-02-13 00:00:00,411.5,1995,02,13
4572,1870,1995-02-14 00:00:00,411.43,1995,02,14
4573,1871,1995-02-15 00:00:00,412.24,1995,02,15
4574,1872,1995-02-16 00:00:00,413.31,1995,02,16
4575,1873,1995-02-17 00:00:00,416.77,1995,02,17
4576,1874,1995-02-18 00:00:00,,1995,02,18
4577,1875,1995-02-19 00:00:00,,1995,02,19
4578,1876,1995-02-20 00:00:00,418.45,1995,02,20
4579,1877,1995-02-21 00:00:00,418.98,1995,02,21
4580,1878,1995-02-22 00:00:00,416.17,1995,02,22
4581,1879,1995-02-23 00:00:00,414.08,1995,02,23
4582,1880,1995-02-24 00:00:00,411.29,1995,02,24
4583,1881,1995-02-25 00:00:00,,1995,02,25
4584,1882,1995-02-26 00:00:00,,1995,02,26
4585,1883,1995-02-27 00:00:00,411.41,1995,02,27
4586,1884,1995-02-28 00:00:00,410.73,1995,02,28
4587,1885,1995-03-01 00:00:00,410.49,1995,03,01
4588,1886,1995-03-02 00:00:00,409.91,1995,03,02
4589,1887,1995-03-03 00:00:00,411.94,1995,03,03
4590,1888,1995-03-04 00:00:00,,1995,03,04
4591,1889,1995-03-05 00:00:00,,1995,03,05
4592,1890,1995-03-06 00:00:00,416.75,1995,03,06
4593,1891,1995-03-07 00:00:00,414.35,1995,03,07
4594,1892,1995-03-08 00:00:00,416.19,1995,03,08
4595,1893,1995-03-09 00:00:00,415.84,1995,03,09
4596,1894,1995-03-10 00:00:00,415.41,1995,03,10
4597,1895,1995-03-11 00:00:00,,1995,03,11
4598,1896,1995-03-12 00:00:00,,1995,03,12
4599,1897,1995-03-13 00:00:00,411.89,1995,03,13
4600,1898,1995-03-14 00:00:00,408.89,1995,03,14
4601,1899,1995-03-15 00:00:00,407.85,1995,03,15
4602,1900,1995-03-16 00:00:00,410.98,1995,03,16
4603,1901,1995-03-17 00:00:00,410.78,1995,03,17
4604,1902,1995-03-18 00:00:00,,1995,03,18
4605,1903,1995-03-19 00:00:00,,1995,03,19
4606,1904,1995-03-20 00:00:00,409.24,1995,03,20
4607,1905,1995-03-21 00:00:00,409.11,1995,03,21
4608,1906,1995-03-22 00:00:00,408.04,1995,03,22
4609,1907,1995-03-23 00:00:00,407.65,1995,03,23
4610,1908,1995-03-24 00:00:00,408.16,1995,03,24
4611,1909,1995-03-25 00:00:00,,1995,03,25
4612,1910,1995-03-26 00:00:00,,1995,03,26
4613,1911,1995-03-27 00:00:00,409.17,1995,03,27
4614,1912,1995-03-28 00:00:00,408.2,1995,03,28
4615,1913,1995-03-29 00:00:00,407.76,1995,03,29
4616,1914,1995-03-30 00:00:00,406.7,1995,03,30
4617,1915,1995-03-31 00:00:00,405.22,1995,03,31
4618,1916,1995-04-01 00:00:00,,1995,04,01
4619,1917,1995-04-02 00:00:00,,1995,04,02
4620,1918,1995-04-03 00:00:00,404.01,1995,04,03
4621,1919,1995-04-04 00:00:00,400.97,1995,04,04
4622,1920,1995-04-05 00:00:00,399.89,1995,04,05
4623,1921,1995-04-06 00:00:00,397.11,1995,04,06
4624,1922,1995-04-07 00:00:00,395.67,1995,04,07
4625,1923,1995-04-08 00:00:00,,1995,04,08
4626,1924,1995-04-09 00:00:00,,1995,04,09
4627,1925,1995-04-10 00:00:00,394.26,1995,04,10
4628,1926,1995-04-11 00:00:00,393.92,1995,04,11
4629,1927,1995-04-12 00:00:00,395.67,1995,04,12
4630,1928,1995-04-13 00:00:00,395.0,1995,04,13
4631,1929,1995-04-14 00:00:00,,1995,04,14
4632,1930,1995-04-15 00:00:00,,1995,04,15
4633,1931,1995-04-16 00:00:00,,1995,04,16
4634,1932,1995-04-17 00:00:00,394.72,1995,04,17
4635,1933,1995-04-18 00:00:00,395.44,1995,04,18
4636,1934,1995-04-19 00:00:00,395.13,1995,04,19
4637,1935,1995-04-20 00:00:00,391.16,1995,04,20
4638,1936,1995-04-21 00:00:00,391.1,1995,04,21
4639,1937,1995-04-22 00:00:00,,1995,04,22
4640,1938,1995-04-23 00:00:00,,1995,04,23
4641,1939,1995-04-24 00:00:00,391.83,1995,04,24
4642,1940,1995-04-25 00:00:00,390.3,1995,04,25
4643,1941,1995-04-26 00:00:00,388.81,1995,04,26
4644,1942,1995-04-27 00:00:00,389.05,1995,04,27
4645,1943,1995-04-28 00:00:00,388.2,1995,04,28
4646,1944,1995-04-29 00:00:00,,1995,04,29
4647,1945,1995-04-30 00:00:00,,1995,04,30
4648,1946,1995-05-01 00:00:00,,1995,05,01
4649,1947,1995-05-02 00:00:00,387.82,1995,05,02
4650,1948,1995-05-03 00:00:00,387.98,1995,05,03
4651,1949,1995-05-04 00:00:00,386.45,1995,05,04
4652,1950,1995-05-05 00:00:00,381.97,1995,05,05
