,index,Periodo,1.Dólar observado,year,mes,dia
1971,1971,1988-01-01 00:00:00,,1988,01,01
1972,1972,1988-01-02 00:00:00,,1988,01,02
1973,1973,1988-01-03 00:00:00,,1988,01,03
1974,1974,1988-01-04 00:00:00,238.14,1988,01,04
1975,1975,1988-01-05 00:00:00,238.26,1988,01,05
1976,1976,1988-01-06 00:00:00,248.84,1988,01,06
1977,1977,1988-01-07 00:00:00,248.04,1988,01,07
1978,1978,1988-01-08 00:00:00,244.09,1988,01,08
1979,1979,1988-01-09 00:00:00,,1988,01,09
1980,1980,1988-01-10 00:00:00,,1988,01,10
1981,1981,1988-01-11 00:00:00,247.7,1988,01,11
1982,1982,1988-01-12 00:00:00,246.94,1988,01,12
1983,1983,1988-01-13 00:00:00,245.12,1988,01,13
1984,1984,1988-01-14 00:00:00,244.53,1988,01,14
1985,1985,1988-01-15 00:00:00,243.84,1988,01,15
1986,1986,1988-01-16 00:00:00,,1988,01,16
1987,1987,1988-01-17 00:00:00,,1988,01,17
1988,1988,1988-01-18 00:00:00,242.82,1988,01,18
1989,1989,1988-01-19 00:00:00,242.0,1988,01,19
1990,1990,1988-01-20 00:00:00,244.4,1988,01,20
1991,1991,1988-01-21 00:00:00,244.52,1988,01,21
1992,1992,1988-01-22 00:00:00,244.0,1988,01,22
1993,1993,1988-01-23 00:00:00,,1988,01,23
1994,1994,1988-01-24 00:00:00,,1988,01,24
1995,1995,1988-01-25 00:00:00,244.73,1988,01,25
1996,1996,1988-01-26 00:00:00,242.83,1988,01,26
1997,1997,1988-01-27 00:00:00,241.23,1988,01,27
1998,1998,1988-01-28 00:00:00,241.34,1988,01,28
1999,1999,1988-01-29 00:00:00,241.15,1988,01,29
2000,2000,1988-01-30 00:00:00,,1988,01,30
2001,2001,1988-01-31 00:00:00,,1988,01,31
2002,2002,1988-02-01 00:00:00,240.9,1988,02,01
2003,2003,1988-02-02 00:00:00,241.76,1988,02,02
2004,2004,1988-02-03 00:00:00,241.9,1988,02,03
2005,2005,1988-02-04 00:00:00,240.96,1988,02,04
2006,2006,1988-02-05 00:00:00,239.69,1988,02,05
2007,2007,1988-02-06 00:00:00,,1988,02,06
2008,2008,1988-02-07 00:00:00,,1988,02,07
2009,2009,1988-02-08 00:00:00,241.48,1988,02,08
2010,2010,1988-02-09 00:00:00,239.43,1988,02,09
2011,2011,1988-02-10 00:00:00,239.98,1988,02,10
2012,2012,1988-02-11 00:00:00,239.61,1988,02,11
2013,2013,1988-02-12 00:00:00,238.92,1988,02,12
2014,2014,1988-02-13 00:00:00,,1988,02,13
2015,2015,1988-02-14 00:00:00,,1988,02,14
2016,2016,1988-02-15 00:00:00,238.83,1988,02,15
2017,2017,1988-02-16 00:00:00,239.73,1988,02,16
2018,2018,1988-02-17 00:00:00,239.27,1988,02,17
2019,2019,1988-02-18 00:00:00,239.67,1988,02,18
2020,2020,1988-02-19 00:00:00,239.25,1988,02,19
2021,2021,1988-02-20 00:00:00,,1988,02,20
2022,2022,1988-02-21 00:00:00,,1988,02,21
2023,2023,1988-02-22 00:00:00,239.52,1988,02,22
2024,2024,1988-02-23 00:00:00,238.98,1988,02,23
2025,2025,1988-02-24 00:00:00,238.9,1988,02,24
2026,2026,1988-02-25 00:00:00,240.37,1988,02,25
2027,2027,1988-02-26 00:00:00,239.85,1988,02,26
2028,2028,1988-02-27 00:00:00,,1988,02,27
2029,2029,1988-02-28 00:00:00,,1988,02,28
2030,2030,1988-02-29 00:00:00,240.94,1988,02,29
2031,2031,1988-03-01 00:00:00,242.79,1988,03,01
2032,2032,1988-03-02 00:00:00,242.9,1988,03,02
2033,2033,1988-03-03 00:00:00,242.56,1988,03,03
2034,2034,1988-03-04 00:00:00,242.18,1988,03,04
2035,2035,1988-03-05 00:00:00,,1988,03,05
