,index,Periodo,1.Dólar observado,year,mes,dia
12564,2557,2017-01-01 00:00:00,,2017,01,01
12565,2558,2017-01-02 00:00:00,,2017,01,02
12566,2559,2017-01-03 00:00:00,669.47,2017,01,03
12567,2560,2017-01-04 00:00:00,673.36,2017,01,04
12568,2561,2017-01-05 00:00:00,671.78,2017,01,05
12569,2562,2017-01-06 00:00:00,666.41,2017,01,06
12570,2563,2017-01-07 00:00:00,,2017,01,07
12571,2564,2017-01-08 00:00:00,,2017,01,08
12572,2565,2017-01-09 00:00:00,665.29,2017,01,09
12573,2566,2017-01-10 00:00:00,670.35,2017,01,10
12574,2567,2017-01-11 00:00:00,670.94,2017,01,11
12575,2568,2017-01-12 00:00:00,671.69,2017,01,12
12576,2569,2017-01-13 00:00:00,663.01,2017,01,13
12577,2570,2017-01-14 00:00:00,,2017,01,14
12578,2571,2017-01-15 00:00:00,,2017,01,15
12579,2572,2017-01-16 00:00:00,660.13,2017,01,16
12580,2573,2017-01-17 00:00:00,661.38,2017,01,17
12581,2574,2017-01-18 00:00:00,657.85,2017,01,18
12582,2575,2017-01-19 00:00:00,658.91,2017,01,19
12583,2576,2017-01-20 00:00:00,660.18,2017,01,20
12584,2577,2017-01-21 00:00:00,,2017,01,21
12585,2578,2017-01-22 00:00:00,,2017,01,22
12586,2579,2017-01-23 00:00:00,659.49,2017,01,23
12587,2580,2017-01-24 00:00:00,652.92,2017,01,24
12588,2581,2017-01-25 00:00:00,653.84,2017,01,25
12589,2582,2017-01-26 00:00:00,650.98,2017,01,26
12590,2583,2017-01-27 00:00:00,648.31,2017,01,27
12591,2584,2017-01-28 00:00:00,,2017,01,28
12592,2585,2017-01-29 00:00:00,,2017,01,29
12593,2586,2017-01-30 00:00:00,649.92,2017,01,30
12594,2587,2017-01-31 00:00:00,648.87,2017,01,31
12595,2588,2017-02-01 00:00:00,646.19,2017,02,01
12596,2589,2017-02-02 00:00:00,646.97,2017,02,02
12597,2590,2017-02-03 00:00:00,643.18,2017,02,03
12598,2591,2017-02-04 00:00:00,,2017,02,04
12599,2592,2017-02-05 00:00:00,,2017,02,05
12600,2593,2017-02-06 00:00:00,641.8,2017,02,06
12601,2594,2017-02-07 00:00:00,639.35,2017,02,07
12602,2595,2017-02-08 00:00:00,646.06,2017,02,08
12603,2596,2017-02-09 00:00:00,646.58,2017,02,09
12604,2597,2017-02-10 00:00:00,646.82,2017,02,10
12605,2598,2017-02-11 00:00:00,,2017,02,11
12606,2599,2017-02-12 00:00:00,,2017,02,12
12607,2600,2017-02-13 00:00:00,642.62,2017,02,13
12608,2601,2017-02-14 00:00:00,642.4,2017,02,14
12609,2602,2017-02-15 00:00:00,641.89,2017,02,15
12610,2603,2017-02-16 00:00:00,639.93,2017,02,16
12611,2604,2017-02-17 00:00:00,638.35,2017,02,17
12612,2605,2017-02-18 00:00:00,,2017,02,18
12613,2606,2017-02-19 00:00:00,,2017,02,19
12614,2607,2017-02-20 00:00:00,643.49,2017,02,20
12615,2608,2017-02-21 00:00:00,642.21,2017,02,21
12616,2609,2017-02-22 00:00:00,643.63,2017,02,22
12617,2610,2017-02-23 00:00:00,641.51,2017,02,23
12618,2611,2017-02-24 00:00:00,640.36,2017,02,24
12619,2612,2017-02-25 00:00:00,,2017,02,25
12620,2613,2017-02-26 00:00:00,,2017,02,26
12621,2614,2017-02-27 00:00:00,645.66,2017,02,27
12622,2615,2017-02-28 00:00:00,645.19,2017,02,28
12623,2616,2017-03-01 00:00:00,648.88,2017,03,01
12624,2617,2017-03-02 00:00:00,650.98,2017,03,02
12625,2618,2017-03-03 00:00:00,654.11,2017,03,03
12626,2619,2017-03-04 00:00:00,,2017,03,04
12627,2620,2017-03-05 00:00:00,,2017,03,05
12628,2621,2017-03-06 00:00:00,655.57,2017,03,06
12629,2622,2017-03-07 00:00:00,658.71,2017,03,07
12630,2623,2017-03-08 00:00:00,660.02,2017,03,08
12631,2624,2017-03-09 00:00:00,661.65,2017,03,09
12632,2625,2017-03-10 00:00:00,664.84,2017,03,10
12633,2626,2017-03-11 00:00:00,,2017,03,11
12634,2627,2017-03-12 00:00:00,,2017,03,12
12635,2628,2017-03-13 00:00:00,663.4,2017,03,13
12636,2629,2017-03-14 00:00:00,665.43,2017,03,14
12637,2630,2017-03-15 00:00:00,669.07,2017,03,15
12638,2631,2017-03-16 00:00:00,669.52,2017,03,16
12639,2632,2017-03-17 00:00:00,661.2,2017,03,17
12640,2633,2017-03-18 00:00:00,,2017,03,18
12641,2634,2017-03-19 00:00:00,,2017,03,19
12642,2635,2017-03-20 00:00:00,661.15,2017,03,20
12643,2636,2017-03-21 00:00:00,662.35,2017,03,21
12644,2637,2017-03-22 00:00:00,657.83,2017,03,22
12645,2638,2017-03-23 00:00:00,662.84,2017,03,23
12646,2639,2017-03-24 00:00:00,662.42,2017,03,24
12647,2640,2017-03-25 00:00:00,,2017,03,25
12648,2641,2017-03-26 00:00:00,,2017,03,26
12649,2642,2017-03-27 00:00:00,661.64,2017,03,27
12650,2643,2017-03-28 00:00:00,663.74,2017,03,28
12651,2644,2017-03-29 00:00:00,666.04,2017,03,29
12652,2645,2017-03-30 00:00:00,663.61,2017,03,30
12653,2646,2017-03-31 00:00:00,662.66,2017,03,31
12654,2647,2017-04-01 00:00:00,,2017,04,01
12655,2648,2017-04-02 00:00:00,,2017,04,02
12656,2649,2017-04-03 00:00:00,663.97,2017,04,03
12657,2650,2017-04-04 00:00:00,658.16,2017,04,04
12658,2651,2017-04-05 00:00:00,661.42,2017,04,05
12659,2652,2017-04-06 00:00:00,657.74,2017,04,06
12660,2653,2017-04-07 00:00:00,656.51,2017,04,07
12661,2654,2017-04-08 00:00:00,,2017,04,08
12662,2655,2017-04-09 00:00:00,,2017,04,09
12663,2656,2017-04-10 00:00:00,656.47,2017,04,10
12664,2657,2017-04-11 00:00:00,654.22,2017,04,11
12665,2658,2017-04-12 00:00:00,652.8,2017,04,12
12666,2659,2017-04-13 00:00:00,653.65,2017,04,13
12667,2660,2017-04-14 00:00:00,,2017,04,14
12668,2661,2017-04-15 00:00:00,,2017,04,15
12669,2662,2017-04-16 00:00:00,,2017,04,16
12670,2663,2017-04-17 00:00:00,650.0,2017,04,17
12671,2664,2017-04-18 00:00:00,647.47,2017,04,18
12672,2665,2017-04-19 00:00:00,,2017,04,19
12673,2666,2017-04-20 00:00:00,647.68,2017,04,20
12674,2667,2017-04-21 00:00:00,649.26,2017,04,21
12675,2668,2017-04-22 00:00:00,,2017,04,22
12676,2669,2017-04-23 00:00:00,,2017,04,23
12677,2670,2017-04-24 00:00:00,650.65,2017,04,24
12678,2671,2017-04-25 00:00:00,653.71,2017,04,25
12679,2672,2017-04-26 00:00:00,660.04,2017,04,26
12680,2673,2017-04-27 00:00:00,665.35,2017,04,27
12681,2674,2017-04-28 00:00:00,664.28,2017,04,28
12682,2675,2017-04-29 00:00:00,,2017,04,29
12683,2676,2017-04-30 00:00:00,,2017,04,30
12684,2677,2017-05-01 00:00:00,,2017,05,01
12685,2678,2017-05-02 00:00:00,665.41,2017,05,02
12686,2679,2017-05-03 00:00:00,666.95,2017,05,03
12687,2680,2017-05-04 00:00:00,668.98,2017,05,04
12688,2681,2017-05-05 00:00:00,673.89,2017,05,05
12689,2682,2017-05-06 00:00:00,,2017,05,06
12690,2683,2017-05-07 00:00:00,,2017,05,07
12691,2684,2017-05-08 00:00:00,674.88,2017,05,08
12692,2685,2017-05-09 00:00:00,676.32,2017,05,09
12693,2686,2017-05-10 00:00:00,679.05,2017,05,10
12694,2687,2017-05-11 00:00:00,672.92,2017,05,11
12695,2688,2017-05-12 00:00:00,671.55,2017,05,12
12696,2689,2017-05-13 00:00:00,,2017,05,13
12697,2690,2017-05-14 00:00:00,,2017,05,14
12698,2691,2017-05-15 00:00:00,671.03,2017,05,15
12699,2692,2017-05-16 00:00:00,668.03,2017,05,16
12700,2693,2017-05-17 00:00:00,666.26,2017,05,17
12701,2694,2017-05-18 00:00:00,668.62,2017,05,18
12702,2695,2017-05-19 00:00:00,675.8,2017,05,19
12703,2696,2017-05-20 00:00:00,,2017,05,20
12704,2697,2017-05-21 00:00:00,,2017,05,21
12705,2698,2017-05-22 00:00:00,670.3,2017,05,22
12706,2699,2017-05-23 00:00:00,668.21,2017,05,23
