,index,Periodo,1.Dólar observado,year,mes,dia
11833,1826,2015-01-01 00:00:00,,2015,01,01
11834,1827,2015-01-02 00:00:00,606.75,2015,01,02
11835,1828,2015-01-03 00:00:00,,2015,01,03
11836,1829,2015-01-04 00:00:00,,2015,01,04
11837,1830,2015-01-05 00:00:00,612.47,2015,01,05
11838,1831,2015-01-06 00:00:00,616.76,2015,01,06
11839,1832,2015-01-07 00:00:00,616.09,2015,01,07
11840,1833,2015-01-08 00:00:00,614.76,2015,01,08
11841,1834,2015-01-09 00:00:00,613.08,2015,01,09
11842,1835,2015-01-10 00:00:00,,2015,01,10
11843,1836,2015-01-11 00:00:00,,2015,01,11
11844,1837,2015-01-12 00:00:00,614.03,2015,01,12
11845,1838,2015-01-13 00:00:00,616.52,2015,01,13
11846,1839,2015-01-14 00:00:00,617.53,2015,01,14
11847,1840,2015-01-15 00:00:00,625.38,2015,01,15
11848,1841,2015-01-16 00:00:00,623.67,2015,01,16
11849,1842,2015-01-17 00:00:00,,2015,01,17
11850,1843,2015-01-18 00:00:00,,2015,01,18
11851,1844,2015-01-19 00:00:00,627.01,2015,01,19
11852,1845,2015-01-20 00:00:00,629.09,2015,01,20
11853,1846,2015-01-21 00:00:00,627.23,2015,01,21
11854,1847,2015-01-22 00:00:00,628.44,2015,01,22
11855,1848,2015-01-23 00:00:00,625.95,2015,01,23
11856,1849,2015-01-24 00:00:00,,2015,01,24
11857,1850,2015-01-25 00:00:00,,2015,01,25
11858,1851,2015-01-26 00:00:00,626.38,2015,01,26
11859,1852,2015-01-27 00:00:00,625.67,2015,01,27
11860,1853,2015-01-28 00:00:00,623.37,2015,01,28
11861,1854,2015-01-29 00:00:00,622.44,2015,01,29
11862,1855,2015-01-30 00:00:00,626.48,2015,01,30
11863,1856,2015-01-31 00:00:00,,2015,01,31
11864,1857,2015-02-01 00:00:00,,2015,02,01
11865,1858,2015-02-02 00:00:00,632.03,2015,02,02
11866,1859,2015-02-03 00:00:00,632.19,2015,02,03
11867,1860,2015-02-04 00:00:00,626.97,2015,02,04
11868,1861,2015-02-05 00:00:00,627.09,2015,02,05
11869,1862,2015-02-06 00:00:00,624.8,2015,02,06
11870,1863,2015-02-07 00:00:00,,2015,02,07
11871,1864,2015-02-08 00:00:00,,2015,02,08
11872,1865,2015-02-09 00:00:00,623.21,2015,02,09
