,index,Periodo,1.Dólar observado,year,mes,dia
13294,3287,2019-01-01 00:00:00,,2019,01,01
13295,3288,2019-01-02 00:00:00,694.77,2019,01,02
13296,3289,2019-01-03 00:00:00,697.09,2019,01,03
13297,3290,2019-01-04 00:00:00,697.64,2019,01,04
13298,3291,2019-01-05 00:00:00,,2019,01,05
13299,3292,2019-01-06 00:00:00,,2019,01,06
13300,3293,2019-01-07 00:00:00,688.42,2019,01,07
13301,3294,2019-01-08 00:00:00,679.69,2019,01,08
13302,3295,2019-01-09 00:00:00,680.1,2019,01,09
13303,3296,2019-01-10 00:00:00,678.09,2019,01,10
13304,3297,2019-01-11 00:00:00,677.58,2019,01,11
13305,3298,2019-01-12 00:00:00,,2019,01,12
13306,3299,2019-01-13 00:00:00,,2019,01,13
13307,3300,2019-01-14 00:00:00,675.15,2019,01,14
13308,3301,2019-01-15 00:00:00,674.95,2019,01,15
13309,3302,2019-01-16 00:00:00,673.76,2019,01,16
13310,3303,2019-01-17 00:00:00,672.73,2019,01,17
13311,3304,2019-01-18 00:00:00,671.37,2019,01,18
13312,3305,2019-01-19 00:00:00,,2019,01,19
13313,3306,2019-01-20 00:00:00,,2019,01,20
13314,3307,2019-01-21 00:00:00,670.1,2019,01,21
13315,3308,2019-01-22 00:00:00,672.42,2019,01,22
13316,3309,2019-01-23 00:00:00,672.26,2019,01,23
13317,3310,2019-01-24 00:00:00,672.41,2019,01,24
13318,3311,2019-01-25 00:00:00,672.14,2019,01,25
13319,3312,2019-01-26 00:00:00,,2019,01,26
13320,3313,2019-01-27 00:00:00,,2019,01,27
13321,3314,2019-01-28 00:00:00,667.04,2019,01,28
13322,3315,2019-01-29 00:00:00,671.29,2019,01,29
13323,3316,2019-01-30 00:00:00,669.6,2019,01,30
13324,3317,2019-01-31 00:00:00,666.76,2019,01,31
13325,3318,2019-02-01 00:00:00,657.81,2019,02,01
13326,3319,2019-02-02 00:00:00,,2019,02,02
13327,3320,2019-02-03 00:00:00,,2019,02,03
13328,3321,2019-02-04 00:00:00,655.39,2019,02,04
13329,3322,2019-02-05 00:00:00,653.8,2019,02,05
13330,3323,2019-02-06 00:00:00,652.78,2019,02,06
13331,3324,2019-02-07 00:00:00,653.9,2019,02,07
13332,3325,2019-02-08 00:00:00,654.44,2019,02,08
13333,3326,2019-02-09 00:00:00,,2019,02,09
13334,3327,2019-02-10 00:00:00,,2019,02,10
13335,3328,2019-02-11 00:00:00,656.46,2019,02,11
13336,3329,2019-02-12 00:00:00,660.82,2019,02,12
13337,3330,2019-02-13 00:00:00,660.49,2019,02,13
13338,3331,2019-02-14 00:00:00,661.6,2019,02,14
13339,3332,2019-02-15 00:00:00,665.9,2019,02,15
13340,3333,2019-02-16 00:00:00,,2019,02,16
13341,3334,2019-02-17 00:00:00,,2019,02,17
13342,3335,2019-02-18 00:00:00,663.98,2019,02,18
13343,3336,2019-02-19 00:00:00,660.82,2019,02,19
13344,3337,2019-02-20 00:00:00,658.75,2019,02,20
13345,3338,2019-02-21 00:00:00,654.52,2019,02,21
13346,3339,2019-02-22 00:00:00,654.33,2019,02,22
13347,3340,2019-02-23 00:00:00,,2019,02,23
13348,3341,2019-02-24 00:00:00,,2019,02,24
13349,3342,2019-02-25 00:00:00,651.36,2019,02,25
13350,3343,2019-02-26 00:00:00,649.22,2019,02,26
13351,3344,2019-02-27 00:00:00,649.8,2019,02,27
13352,3345,2019-02-28 00:00:00,649.92,2019,02,28
13353,3346,2019-03-01 00:00:00,651.79,2019,03,01
13354,3347,2019-03-02 00:00:00,,2019,03,02
13355,3348,2019-03-03 00:00:00,,2019,03,03
13356,3349,2019-03-04 00:00:00,656.57,2019,03,04
13357,3350,2019-03-05 00:00:00,659.07,2019,03,05
13358,3351,2019-03-06 00:00:00,657.49,2019,03,06
13359,3352,2019-03-07 00:00:00,658.4,2019,03,07
13360,3353,2019-03-08 00:00:00,662.19,2019,03,08
13361,3354,2019-03-09 00:00:00,,2019,03,09
13362,3355,2019-03-10 00:00:00,,2019,03,10
13363,3356,2019-03-11 00:00:00,670.83,2019,03,11
13364,3357,2019-03-12 00:00:00,669.37,2019,03,12
13365,3358,2019-03-13 00:00:00,667.09,2019,03,13
13366,3359,2019-03-14 00:00:00,665.68,2019,03,14
13367,3360,2019-03-15 00:00:00,670.62,2019,03,15
13368,3361,2019-03-16 00:00:00,,2019,03,16
13369,3362,2019-03-17 00:00:00,,2019,03,17
13370,3363,2019-03-18 00:00:00,669.39,2019,03,18
13371,3364,2019-03-19 00:00:00,667.21,2019,03,19
13372,3365,2019-03-20 00:00:00,664.78,2019,03,20
13373,3366,2019-03-21 00:00:00,666.13,2019,03,21
13374,3367,2019-03-22 00:00:00,665.12,2019,03,22
13375,3368,2019-03-23 00:00:00,,2019,03,23
13376,3369,2019-03-24 00:00:00,,2019,03,24
13377,3370,2019-03-25 00:00:00,676.6,2019,03,25
13378,3371,2019-03-26 00:00:00,679.08,2019,03,26
13379,3372,2019-03-27 00:00:00,679.02,2019,03,27
13380,3373,2019-03-28 00:00:00,683.73,2019,03,28
13381,3374,2019-03-29 00:00:00,681.09,2019,03,29
13382,3375,2019-03-30 00:00:00,,2019,03,30
13383,3376,2019-03-31 00:00:00,,2019,03,31
13384,3377,2019-04-01 00:00:00,678.53,2019,04,01
13385,3378,2019-04-02 00:00:00,672.56,2019,04,02
13386,3379,2019-04-03 00:00:00,670.05,2019,04,03
13387,3380,2019-04-04 00:00:00,667.55,2019,04,04
13388,3381,2019-04-05 00:00:00,666.32,2019,04,05
13389,3382,2019-04-06 00:00:00,,2019,04,06
13390,3383,2019-04-07 00:00:00,,2019,04,07
13391,3384,2019-04-08 00:00:00,664.17,2019,04,08
13392,3385,2019-04-09 00:00:00,663.01,2019,04,09
