;year;Día;Mes;valor
185;2020;31;Mar;846.3
186;2019;1;Abr;678.53
187;2019;2;Abr;672.56
188;2019;3;Abr;670.05
189;2019;4;Abr;667.55
190;2019;5;Abr;666.32
191;2019;6;Abr;0.0
192;2019;7;Abr;0.0
193;2019;8;Abr;664.17
194;2019;9;Abr;663.01
195;2019;10;Abr;663.15
196;2019;11;Abr;662.92
197;2019;12;Abr;664.19
198;2019;13;Abr;0.0
199;2019;14;Abr;0.0
200;2019;15;Abr;660.67
201;2019;16;Abr;662.86
202;2019;17;Abr;663.98
203;2019;18;Abr;660.48
204;2019;19;Abr;0.0
205;2019;20;Abr;0.0
206;2019;21;Abr;0.0
207;2019;22;Abr;662.27
208;2019;23;Abr;663.91
209;2019;24;Abr;668.19
210;2019;25;Abr;672.83
211;2019;26;Abr;676.21
212;2019;27;Abr;0.0
213;2019;28;Abr;0.0
214;2019;29;Abr;673.86
215;2019;30;Abr;677.67
216;2019;31;Abr;0.0
217;2020;1;Abr;852.03
218;2020;2;Abr;863.81
219;2020;3;Abr;861.89
220;2020;4;Abr;0.0
221;2020;5;Abr;0.0
222;2020;6;Abr;863.99
223;2020;7;Abr;853.91
224;2020;8;Abr;842.05
225;2020;9;Abr;851.9
226;2020;10;Abr;0.0
227;2020;11;Abr;0.0
228;2020;12;Abr;0.0
229;2020;13;Abr;839.49
230;2020;14;Abr;844.57
231;2020;15;Abr;848.63
232;2020;16;Abr;859.31
233;2020;17;Abr;852.52
234;2020;18;Abr;0.0
235;2020;19;Abr;0.0
236;2020;20;Abr;849.45
237;2020;21;Abr;856.23
238;2020;22;Abr;862.06
239;2020;23;Abr;856.51
240;2020;24;Abr;858.87
241;2020;25;Abr;0.0
242;2020;26;Abr;0.0
243;2020;27;Abr;859.95
244;2020;28;Abr;856.76
245;2020;29;Abr;850.41
246;2020;30;Abr;836.62
247;2020;31;Abr;0.0
248;2019;1;May;0.0
249;2019;2;May;678.71
250;2019;3;May;683.31
251;2019;4;May;0.0
252;2019;5;May;0.0
253;2019;6;May;678.68
254;2019;7;May;681.09
255;2019;8;May;683.49
256;2019;9;May;684.51
257;2019;10;May;686.43
258;2019;11;May;0.0
259;2019;12;May;0.0
260;2019;13;May;685.67
261;2019;14;May;693.04
262;2019;15;May;692.33
263;2019;16;May;692.62
264;2019;17;May;692.79
265;2019;18;May;0.0
266;2019;19;May;0.0
267;2019;20;May;696.61
268;2019;21;May;0.0
269;2019;22;May;697.23
270;2019;23;May;696.7
271;2019;24;May;698.03
272;2019;25;May;0.0
273;2019;26;May;0.0
274;2019;27;May;694.84
275;2019;28;May;696.46
276;2019;29;May;703.48
277;2019;30;May;708.2
278;2019;31;May;707.86
279;2020;1;May;0.0
280;2020;2;May;0.0
281;2020;3;May;0.0
282;2020;4;May;837.92
283;2020;5;May;838.74
284;2020;6;May;832.84
285;2020;7;May;839.08
286;2020;8;May;836.27
287;2020;9;May;0.0
288;2020;10;May;0.0
289;2020;11;May;827.65
290;2020;12;May;826.05
291;2020;13;May;821.88
292;2020;14;May;820.38
293;2020;15;May;822.93
294;2020;16;May;0.0
295;2020;17;May;0.0
296;2020;18;May;823.86
297;2020;19;May;820.65
298;2020;20;May;819.08
299;2020;21;May;0.0
300;2020;22;May;806.17
301;2020;23;May;0.0
302;2020;24;May;0.0
303;2020;25;May;805.75
304;2020;26;May;803.74
305;2020;27;May;802.1
306;2020;28;May;816.47
307;2020;29;May;812.74
308;2020;30;May;0.0
309;2020;31;May;0.0
310;2019;1;Jun;0.0
311;2019;2;Jun;0.0
312;2019;3;Jun;709.8
313;2019;4;Jun;704.59
314;2019;5;Jun;696.78
315;2019;6;Jun;693.25
